f1,f2,f3,f4,f5,ax,ay,az,posture,label
1071.4,254.6,455.6,3440.6,253.4,2387.2,3368.0,32767.0,0,A
1074.4,258.0,456.0,3440.0,253.2,2394.4,3307.2,32767.0,0,A
1073.4,257.6,456.8,3440.0,253.6,2409.6,3290.4,32767.0,0,A
1073.4,257.6,456.8,3440.0,253.6,2409.6,3290.4,32767.0,0,A
1073.6,257.0,455.6,3441.8,254.4,2419.2,3324.8,32767.0,0,A
1072.6,254.6,454.8,3441.6,253.4,2419.2,3355.2,32767.0,0,A
1069.8,253.8,455.8,3438.4,251.6,2464.0,3430.4,32767.0,0,A
1069.8,253.8,455.8,3438.4,251.6,2464.0,3430.4,32767.0,0,A
1078.8,253.6,455.4,3438.8,252.2,2445.6,3444.0,32767.0,0,A
1078.8,253.6,455.4,3438.8,252.2,2445.6,3444.0,32767.0,0,A
1073.0,262.4,454.8,3438.2,252.4,2449.6,3405.6,32767.0,0,A
1074.2,262.8,454.2,3434.8,251.8,2410.4,3317.6,32767.0,0,A
1074.2,262.8,454.2,3434.8,251.8,2410.4,3317.6,32767.0,0,A
1074.4,268.2,455.4,3435.6,252.2,2403.2,3200.8,32767.0,0,A
1074.4,268.2,455.4,3435.6,252.2,2403.2,3200.8,32767.0,0,A
1076.6,268.8,456.0,3438.8,253.4,2353.6,3116.0,32767.0,0,A
1067.6,269.4,459.6,3439.4,253.4,2380.0,3138.4,32767.0,0,A
1067.6,269.4,459.6,3439.4,253.4,2380.0,3138.4,32767.0,0,A
1077.6,264.6,459.4,3440.0,250.4,2396.8,3193.6,32767.0,0,A
1077.6,264.6,459.4,3440.0,250.4,2396.8,3193.6,32767.0,0,A
1076.6,265.0,461.2,3441.4,249.8,2408.8,3234.4,32767.0,0,A
1074.6,262.8,461.8,3440.8,249.8,2419.2,3291.2,32767.0,0,A
1077.2,262.0,461.6,3441.0,250.4,2448.8,3319.2,32767.0,0,A
1077.2,262.0,461.6,3441.0,250.4,2448.8,3319.2,32767.0,0,A
