f1,f2,f3,f4,f5,ax,ay,az,posture,label
1088.9,277.1,495.3,3344.2,234.4,-3192.8,-1153.2,-15522.4,A,
1088.8,277.6,495.1,3345.0,233.8,-3183.2,-1131.2,-15520.0,A,
1088.6,279.7,495.0,3344.9,234.1,-3192.0,-1120.8,-15504.8,A,
1089.2,275.3,493.8,3344.9,233.2,-3199.2,-1080.8,-15514.0,A,
1089.1,275.2,493.6,3345.1,232.4,-3199.6,-1125.6,-15520.8,A,
1088.6,273.2,494.6,3345.6,231.1,-3166.4,-1208.4,-15493.2,A,
1088.4,273.8,489.8,3348.7,231.3,-3119.6,-1220.4,-15486.8,A,
1088.1,274.4,489.8,3348.3,231.0,-3106.0,-1285.2,-15458.0,A,
1088.7,273.9,489.8,3348.4,230.4,-3130.0,-1274.0,-15448.0,A,
1088.9,274.2,490.0,3348.4,231.1,-3153.2,-1246.4,-15464.0,A,
1089.3,273.8,489.8,3348.3,231.1,-3182.8,-1192.0,-15476.8,A,
1089.3,272.4,490.2,3348.3,231.6,-3176.4,-1190.4,-15471.6,A,
1090.6,272.5,490.6,3348.6,231.3,-3188.8,-1164.8,-15465.2,A,
1090.3,271.7,492.1,3349.4,232.2,-3170.0,-1182.8,-15438.0,A,
1090.6,270.7,492.5,3349.5,232.9,-3167.6,-1198.8,-15467.2,A,
1091.0,270.5,490.2,3349.0,233.8,-3167.2,-1186.8,-15540.8,A,
1091.3,270.2,495.0,3346.1,234.4,-3182.0,-1214.0,-15622.8,A,
1092.1,270.1,495.2,3348.3,234.7,-3104.4,-1148.0,-15702.4,A,
1092.8,269.3,495.3,3347.9,234.3,-3035.2,-1180.0,-15748.0,A,
1093.9,269.4,495.1,3347.9,233.7,-2914.0,-1184.0,-15774.0,A,
1094.0,270.0,495.2,3347.9,232.5,-2830.0,-1265.6,-15748.0,A,
1094.3,272.1,495.3,3347.4,232.5,-2761.6,-1262.8,-15755.2,A,
1092.8,270.4,496.3,3347.3,232.5,-2666.4,-1281.6,-15756.4,A,
1092.8,271.3,496.7,3346.4,233.1,-2648.4,-1322.8,-15741.6,A,
1092.8,272.0,496.9,3346.3,232.5,-2611.2,-1296.4,-15722.0,A,
1092.6,272.0,498.6,3346.3,232.1,-2598.0,-1233.2,-15652.8,A,
1093.0,271.9,498.6,3345.4,231.6,-2587.2,-1140.4,-15578.0,A,
1092.2,271.9,498.4,3343.2,230.9,-2602.0,-1109.2,-15528.4,A,
1092.6,272.7,498.4,3343.7,231.4,-2618.8,-1040.4,-15495.2,A,
1091.9,273.6,498.7,3343.8,231.3,-2659.6,-1000.0,-15461.2,A,
1092.1,275.5,498.6,3343.9,233.0,-2659.2,-929.2,-15499.6,A,
1092.8,272.6,498.0,3342.5,233.3,-2686.8,-930.4,-15509.2,A,
1093.2,271.0,497.7,3342.3,233.5,-2680.0,-862.4,-15561.6,A,
1093.2,271.9,497.5,3342.4,233.2,-2640.4,-777.2,-15606.8,A,
1093.1,272.0,497.3,3342.9,233.3,-2615.6,-691.6,-15660.8,A,
1093.1,272.0,496.8,3342.6,233.6,-2578.0,-622.4,-15686.4,A,
1092.5,272.3,496.9,3343.2,232.3,-2541.2,-602.8,-15691.6,A,
1092.3,272.5,497.1,3343.1,231.6,-2531.6,-576.8,-15691.2,A,
1091.6,272.9,496.7,3343.0,231.1,-2495.2,-557.2,-15708.8,A,
1091.9,271.8,496.4,3342.0,231.2,-2492.8,-570.4,-15728.8,A,
1091.4,270.2,496.0,3339.9,231.2,-2507.2,-605.2,-15735.2,A,
1090.5,272.3,496.6,3341.4,231.3,-2496.0,-614.4,-15745.6,A,
1090.8,272.0,499.4,3341.2,231.0,-2515.2,-675.2,-15739.2,A,
1091.5,271.0,496.4,3341.1,231.5,-2538.0,-728.4,-15718.0,A,
1092.3,271.2,496.5,3340.6,231.2,-2549.2,-799.6,-15678.8,A,
1093.0,271.2,496.9,3340.9,230.3,-2582.0,-858.0,-15662.8,A,
1093.3,271.3,496.9,3340.9,231.4,-2609.2,-910.8,-15641.6,A,
1093.6,271.5,496.7,3341.1,231.3,-2595.2,-942.4,-15648.8,A,
1094.3,271.1,496.7,3341.4,231.1,-2600.8,-988.4,-15653.2,A,
1095.2,271.1,496.7,3342.3,230.6,-2571.2,-1028.4,-15661.6,A,
1096.0,270.1,497.6,3344.5,230.1,-2526.4,-1026.0,-15687.2,A,
1097.5,269.7,497.9,3344.5,230.1,-2494.8,-993.2,-15701.2,A,
1097.8,269.3,494.7,3344.8,230.2,-2482.8,-983.2,-15669.2,A,
1097.5,269.3,497.4,3344.0,230.0,-2458.8,-965.2,-15668.0,A,
1096.9,269.3,497.3,3344.9,230.1,-2453.2,-941.2,-15653.6,A,
1097.0,269.1,497.3,3344.8,231.5,-2442.0,-946.4,-15674.8,A,
1097.3,268.6,497.2,3344.2,232.3,-2412.4,-905.6,-15697.6,A,
1097.1,268.3,497.2,3344.0,237.2,-2416.0,-860.8,-15682.0,A,
1096.5,268.7,497.6,3343.0,237.5,-2408.4,-846.4,-15674.8,A,
1095.3,269.2,497.6,3343.0,238.1,-2415.6,-826.4,-15700.8,A,
1095.7,269.7,497.2,3342.3,238.8,-2455.6,-838.4,-15666.8,A,
1094.6,270.2,497.5,3341.2,238.8,-2466.8,-837.2,-15645.2,A,
1095.5,277.7,497.1,3339.2,239.2,-2478.4,-844.0,-15640.8,A,
1095.2,277.8,497.9,3338.5,239.5,-2478.4,-841.6,-15633.2,A,
1095.9,277.8,498.2,3338.6,234.3,-2472.4,-807.6,-15616.8,A,
1095.8,278.0,498.2,3340.2,234.1,-2462.4,-787.6,-15600.8,A,
1095.2,277.3,498.2,3341.5,233.7,-2469.2,-753.2,-15605.6,A,
1095.4,276.9,498.3,3342.9,229.2,-2483.2,-730.8,-15624.4,A,
1095.6,277.1,498.4,3344.7,228.8,-2500.0,-710.4,-15632.4,A,
1096.0,281.2,498.0,3346.0,229.2,-2514.4,-654.0,-15614.8,A,
1095.2,281.1,497.2,3347.2,229.2,-2510.8,-602.4,-15634.8,A,
1095.0,281.3,494.6,3350.4,229.1,-2528.0,-581.2,-15660.8,A,
1094.5,274.6,494.8,3354.0,229.2,-2557.6,-563.6,-15684.4,A,
1094.3,274.2,493.6,3355.7,228.4,-2586.4,-560.8,-15695.6,A,
1094.0,274.3,493.5,3353.3,233.2,-2596.8,-546.0,-15734.4,A,
1094.1,274.2,493.5,3353.1,232.7,-2602.0,-472.0,-15729.2,A,
1094.4,274.7,493.8,3353.9,232.9,-2608.0,-464.8,-15710.8,A,
1093.7,274.7,493.7,3353.0,233.6,-2630.0,-492.0,-15701.6,A,
1093.3,277.7,493.5,3353.7,233.6,-2656.8,-446.8,-15676.4,A,
1093.8,273.6,494.4,3354.1,232.3,-2654.0,-343.2,-15677.6,A,
1093.7,273.6,495.5,3354.7,232.1,-2622.0,-257.6,-15673.6,A,
1095.6,273.3,497.8,3353.9,232.1,-2605.6,-236.4,-15655.6,A,
1095.0,272.5,496.4,3354.7,232.3,-2584.4,-182.0,-15654.8,A,
1095.3,273.2,496.7,3354.8,232.1,-2577.2,-149.6,-15693.6,A,
1094.8,273.1,496.5,3357.7,232.3,-2574.8,-154.4,-15698.8,A,
1094.3,273.3,497.2,3357.9,232.4,-2587.6,-147.2,-15697.2,A,
1094.9,273.9,497.0,3357.9,232.4,-2588.8,-116.8,-15720.0,A,
1095.3,277.5,497.0,3358.9,232.4,-2572.0,-81.6,-15719.6,A,
1096.8,274.4,497.2,3358.7,233.1,-2532.0,-48.0,-15743.6,A,
1095.5,274.4,497.0,3358.5,232.7,-2516.8,-130.4,-15751.2,A,
1096.6,273.3,496.5,3358.8,232.6,-2517.2,-168.4,-15764.4,A,
1094.4,272.8,495.9,3360.2,232.3,-2498.8,-170.4,-15795.2,A,
1094.1,273.5,497.5,3356.3,231.5,-2478.8,-236.0,-15803.6,A,
1095.1,273.2,498.1,3357.4,231.4,-2463.6,-253.6,-15784.8,A,
1095.1,271.7,498.1,3357.4,232.3,-2455.2,-268.8,-15795.6,A,
1095.9,271.5,497.4,3357.1,229.8,-2452.4,-352.0,-15786.8,A,
1095.3,271.4,497.4,3357.1,229.9,-2447.2,-419.6,-15779.2,A,
1095.6,268.2,497.5,3355.9,230.2,-2430.4,-422.8,-15780.0,A,
1093.4,266.9,497.5,3355.8,230.0,-2473.2,-509.2,-15738.4,A,
1093.4,267.1,497.8,3356.0,231.1,-2499.6,-580.4,-15736.0,A,
1093.2,268.5,498.1,3355.3,231.2,-2518.4,-660.0,-15675.2,A,
1093.5,269.0,498.2,3355.8,231.9,-2574.8,-742.0,-15629.2,A,
1093.6,269.0,497.6,3363.8,232.2,-2590.4,-784.4,-15646.8,A,
1092.1,269.2,497.0,3363.7,232.4,-2614.4,-838.4,-15639.6,A,
1092.4,270.7,497.0,3363.5,232.0,-2606.8,-887.2,-15625.6,A,
1091.5,270.8,497.1,3363.4,234.9,-2618.8,-891.6,-15633.2,A,
1090.9,271.6,497.0,3363.8,234.3,-2625.6,-924.8,-15666.8,A,
1088.9,271.6,496.7,3365.1,233.7,-2640.8,-973.2,-15672.0,A,
1090.4,273.2,496.5,3363.9,233.5,-2618.8,-994.0,-15700.8,A,
1088.7,270.3,495.9,3363.7,232.6,-2616.0,-991.2,-15712.0,A,
1088.0,270.2,493.7,3363.0,232.2,-2612.8,-979.2,-15726.0,A,
1088.2,270.3,493.9,3361.6,232.1,-2586.8,-980.0,-15715.2,A,
1088.8,269.9,494.0,3355.8,232.2,-2569.6,-937.6,-15673.2,A,
1088.7,269.7,494.3,3355.8,232.8,-2537.6,-891.2,-15651.2,A,
1088.1,270.0,494.4,3356.1,233.1,-2544.4,-915.2,-15613.2,A,
1088.6,269.9,494.5,3356.5,232.9,-2531.6,-958.8,-15621.2,A,
1088.9,269.4,494.3,3356.0,234.0,-2534.4,-952.4,-15580.0,A,
1094.9,269.1,497.9,3356.2,234.6,-2566.0,-1033.6,-15565.6,A,
1091.1,267.7,497.8,3357.6,234.9,-2539.6,-1074.8,-15583.2,A,
1093.5,269.9,497.8,3357.1,236.3,-2513.2,-1123.6,-15535.2,A,
1093.8,270.0,501.2,3359.0,236.6,-2513.2,-1211.2,-15544.8,A,
1094.4,269.5,501.4,3357.7,237.6,-2496.4,-1272.0,-15548.0,A,
1094.5,269.6,501.6,3358.4,236.9,-2475.6,-1358.0,-15523.2,A,
1095.9,269.1,501.5,3358.2,236.5,-2400.4,-1466.0,-15576.4,A,
1096.8,268.8,501.4,3357.1,236.3,-2349.2,-1468.4,-15598.0,A,
1095.6,267.5,501.2,3356.8,236.1,-2268.0,-1504.0,-15655.2,A,
1090.7,266.4,501.8,3355.4,235.0,-2186.0,-1514.4,-15722.8,A,
1086.7,266.0,498.4,3355.0,234.7,-2114.8,-1428.8,-15776.8,A,
1091.1,272.0,498.6,3355.3,234.6,-2062.4,-1380.8,-15761.6,A,
1090.2,272.2,498.9,3355.0,234.2,-2008.8,-1382.4,-15809.6,A,
1089.9,271.6,499.9,3356.0,234.5,-1944.0,-1333.2,-15773.6,A,
1089.9,272.1,499.7,3357.1,233.2,-1891.6,-1320.4,-15732.4,A,
1089.4,272.3,499.5,3357.0,231.8,-1802.8,-1273.6,-15806.8,A,
1088.2,273.5,499.1,3357.2,231.6,-1803.6,-1216.0,-15784.8,A,
1087.5,273.5,499.5,3358.0,231.5,-1785.2,-1184.4,-15844.4,A,
1088.9,274.9,499.8,3358.0,231.9,-1804.8,-1090.8,-15829.2,A,
1091.6,275.9,500.1,3359.3,232.7,-1852.8,-1006.4,-15755.2,A,
1093.0,277.0,499.8,3361.2,232.3,-1826.4,-948.8,-15722.8,A,
1093.1,271.7,499.7,3360.5,233.3,-1817.6,-942.0,-15699.2,A,
1093.9,272.0,499.4,3363.1,233.9,-1800.0,-923.2,-15744.8,A,
1094.6,272.6,496.9,3364.4,233.9,-1818.4,-905.2,-15800.0,A,
